k,mean_psnr,std_psnr,min_psnr,max_psnr
1,23.789791873448944,0.004025546757185545,23.7838138939998,23.79586929598542
4,24.75520632788557,0.0066595651630001465,24.745845544535413,24.76893286768529
8,26.51393360506799,0.012116617139902643,26.49734229507675,26.533078660179378
16,inf,0.0,inf,inf
